Row Labels,Sum of arrivals
Alabama,1386
Alaska,989
Arizona,29825
Arkansas,111
California,76114
Colorado,16034
Connecticut,5065
Delaware,82
District of Columbia,343
Florida,36568
Georgia,27252
Guam,5
Hawaii,77
Idaho,9527
Illinois,23826
Indiana,13697
Iowa,5901
Kansas,3894
Kentucky,15695
Louisiana,2378
Maine,2587
Maryland,11438
Massachusetts,16214
Michigan,30772
Minnesota,27259
Mississippi,81
Missouri,11974
Montana,16
Nebraska,8123
Nevada,5065
New Hampshire,4423
New Jersey,6210
New Mexico,1854
New York,39359
North Carolina,22787
North Dakota,4457
Ohio,22652
Oklahoma,2732
Oregon,9404
Pennsylvania,24389
Puerto Rico,35
Rhode Island,1868
South Carolina,1431
South Dakota,4703
Tennessee,13576
Texas,65537
Utah,10758
Vermont,3110
Virginia,14994
Washington,27009
West Virginia,154
Wisconsin,8778
Grand Total,672518
