FIPS,County,State,Estimated Exams
1001,Autauga,Alabama,721
1003,Baldwin,Alabama,2833
1005,Barbour,Alabama,360
1007,Bibb,Alabama,260
1009,Blount,Alabama,673
1011,Bullock,Alabama,150
1013,Butler,Alabama,304
1015,Calhoun,Alabama,1531
1017,Chambers,Alabama,533
1019,Cherokee,Alabama,304
1021,Chilton,Alabama,561
1023,Choctaw,Alabama,177
1025,Clarke,Alabama,359
1027,Clay,Alabama,189
1029,Cleburne,Alabama,182
1031,Coffee,Alabama,655
1033,Colbert,Alabama,735
1035,Conecuh,Alabama,185
1037,Coosa,Alabama,132
1039,Covington,Alabama,517
1041,Crenshaw,Alabama,202
1043,Cullman,Alabama,1038
1045,Dale,Alabama,659
1047,Dallas,Alabama,675
1049,Dekalb,Alabama,893
1051,Elmore,Alabama,1068
1053,Escambia,Alabama,504
1055,Etowah,Alabama,1381
1057,Fayette,Alabama,208
1059,Franklin,Alabama,404
1061,Geneva,Alabama,358
1063,Greene,Alabama,150
1065,Hale,Alabama,237
1067,Henry,Alabama,241
1069,Houston,Alabama,1528
1071,Jackson,Alabama,678
1073,Jefferson,Alabama,9899
1075,Lamar,Alabama,181
1077,Lauderdale,Alabama,1158
1079,Lawrence,Alabama,427
1081,Lee,Alabama,1944
1083,Limestone,Alabama,1125
1085,Lowndes,Alabama,202
1087,Macon,Alabama,302
1089,Madison,Alabama,4970
1091,Marengo,Alabama,303
1093,Marion,Alabama,358
1095,Marshall,Alabama,1288
1097,Mobile,Alabama,6156
1099,Monroe,Alabama,307
1101,Montgomery,Alabama,3549
1103,Morgan,Alabama,1618
1105,Perry,Alabama,162
1107,Pickens,Alabama,273
1109,Pike,Alabama,434
1111,Randolph,Alabama,311
1113,Russell,Alabama,893
1115,St. Clair,Alabama,1068
1117,Shelby,Alabama,2699
1119,Sumter,Alabama,205
1121,Talladega,Alabama,1098
1123,Tallapoosa,Alabama,597
1125,Tuscaloosa,Alabama,2599
1127,Walker,Alabama,802
1129,Washington,Alabama,222
1131,Wilcox,Alabama,194
1133,Winston,Alabama,308
2013,Aleutians East,Alaska,23
2016,Aleutians West Census Area,Alaska,60
2020,Anchorage,Alaska,4363
2050,Bethel,Alaska,250
2060,Bristol Bay,Alaska,7
2068,Denali,Alaska,26
2070,Dillingham,Alaska,64
2090,Fairbanks North Star,Alaska,1285
2100,Haines,Alaska,42
2105,Hoonah-Angoon,Alaska,39
2110,Juneau,Alaska,461
2122,Kenai Peninsula,Alaska,818
2130,Ketchikan Gateway,Alaska,201
2150,Kodiak Island,Alaska,197
2164,Lake and Peninsula,Alaska,19
2170,Matanuska-Susitna,Alaska,1191
2180,Nome,Alaska,125
2185,North Slope,Alaska,96
2188,Northwest Arctic,Alaska,91
2195,Petersburg,Alaska,53
2198,Prince of Wales-Hyder,Alaska,72
2220,Sitka,Alaska,131
2230,Skagway,Alaska,18
2240,Southeast Fairbanks,Alaska,98
2261,Valdez-Cordova,Alaska,143
2270,Wade Hampton,Alaska,118
2275,Wrangell,Alaska,38
2282,Yakutat,Alaska,3
2290,Yukon-Koyukuk,Alaska,86
4001,Apache,Arizona,912
4003,Cochise,Arizona,1688
4005,Coconino,Arizona,1795
4007,Gila,Arizona,698
4009,Graham,Arizona,370
4011,Greenlee,Arizona,94
4012,La Paz,Arizona,226
4013,Maricopa,Arizona,54632
4015,Mohave,Arizona,2575
4017,Navajo,Arizona,1364
4019,Pima,Arizona,13556
4021,Pinal,Arizona,4119
4023,Santa Cruz,Arizona,791
4025,Yavapai,Arizona,3067
4027,Yuma,Arizona,3082
5001,Arkansas,Arkansas,278
5003,Ashley,Arkansas,283
5005,Baxter,Arkansas,547
5007,Benton,Arkansas,3228
5009,Boone,Arkansas,490
5011,Bradley,Arkansas,152
5013,Calhoun,Arkansas,59
5015,Carroll,Arkansas,412
5017,Chicot,Arkansas,167
5019,Clark,Arkansas,272
5021,Clay,Arkansas,201
5023,Cleburne,Arkansas,328
5025,Cleveland,Arkansas,98
5027,Columbia,Arkansas,309
5029,Conway,Arkansas,266
5031,Craighead,Arkansas,1349
5033,Crawford,Arkansas,761
5035,Crittenden,Arkansas,808
5037,Cross,Arkansas,256
5039,Dallas,Arkansas,104
5041,Desha,Arkansas,188
5043,Drew,Arkansas,242
5045,Faulkner,Arkansas,1459
5047,Franklin,Arkansas,219
5049,Fulton,Arkansas,149
5051,Garland,Arkansas,1409
5053,Grant,Arkansas,217
5055,Greene,Arkansas,546
5057,Hempstead,Arkansas,311
5059,Hot Spring,Arkansas,399
5061,Howard,Arkansas,201
5063,Independence,Arkansas,461
5065,Izard,Arkansas,155
5067,Jackson,Arkansas,207
5069,Jefferson,Arkansas,1068
5071,Johnson,Arkansas,331
5073,Lafayette,Arkansas,99
5075,Lawrence,Arkansas,207
5077,Lee,Arkansas,124
5079,Lincoln,Arkansas,146
5081,Little River,Arkansas,162
5083,Logan,Arkansas,279
5085,Lonoke,Arkansas,890
5087,Madison,Arkansas,208
5089,Marion,Arkansas,210
5091,Miller,Arkansas,598
5093,Mississippi,Arkansas,640
5095,Monroe,Arkansas,116
5097,Montgomery,Arkansas,108
5099,Nevada,Arkansas,114
5101,Newton,Arkansas,103
5103,Ouachita,Arkansas,333
5105,Perry,Arkansas,131
5107,Phillips,Arkansas,309
5109,Pike,Arkansas,138
5111,Poinsett,Arkansas,319
5113,Polk,Arkansas,263
5115,Pope,Arkansas,799
5117,Prairie,Arkansas,107
5119,Pulaski,Arkansas,5888
5121,Randolph,Arkansas,231
5123,St. Francis,Arkansas,365
5125,Saline,Arkansas,1414
5127,Scott,Arkansas,141
5129,Searcy,Arkansas,110
5131,Sebastian,Arkansas,1729
5133,Sevier,Arkansas,218
5135,Sharp,Arkansas,219
5137,Stone,Arkansas,164
5139,Union,Arkansas,598
5141,Van Buren,Arkansas,205
5143,Washington,Arkansas,2915
5145,White,Arkansas,960
5147,Woodruff,Arkansas,101
5149,Yell,Arkansas,278
6001,Alameda,California,23111
6003,Alpine,California,6
6005,Amador,California,473
6007,Butte,California,2808
6009,Calaveras,California,596
6011,Colusa,California,297
6013,Contra Costa,California,16345
6015,Del Norte,California,304
6017,El Dorado,California,2605
6019,Fresno,California,13164
6021,Glenn,California,378
6023,Humboldt,California,1727
6025,Imperial,California,3000
6027,Inyo,California,246
6029,Kern,California,11012
6031,Kings,California,1739
6033,Lake,California,835
6035,Lassen,California,288
6037,Los Angeles,California,148401
6039,Madera,California,1868
6041,Marin,California,4561
6043,Mariposa,California,228
6045,Mendocino,California,1218
6047,Merced,California,3316
6049,Modoc,California,115
6051,Mono,California,181
6053,Monterey,California,5895
6055,Napa,California,1980
6057,Nevada,California,1499
6059,Orange,California,45583
6061,Placer,California,5035
6063,Plumas,California,256
6065,Riverside,California,30200
6067,Sacramento,California,19973
6069,San Benito,California,780
6071,San Bernardino,California,28127
6073,San Diego,California,47180
6075,San Francisco,California,14489
6077,San Joaquin,California,9332
6079,San Luis Obispo,California,3797
6081,San Mateo,California,11856
6083,Santa Barbara,California,5966
6085,Santa Clara,California,28785
6087,Santa Cruz,California,3992
6089,Shasta,California,2360
6091,Sierra,California,40
6093,Siskiyou,California,611
6095,Solano,California,5681
6097,Sonoma,California,6976
6099,Stanislaus,California,6888
6101,Sutter,California,1242
6103,Tehama,California,791
6105,Trinity,California,154
