State FIPS code,State,County FIPS code,County name,Number of returns,FIPS
0,US,0,Total [11],"145,824,340",0000
1,AL,0,Alabama,2048400,1000
1,AL,1,Autauga County,23690,1001
1,AL,3,Baldwin County,89970,1003
1,AL,5,Barbour County,10070,1005
1,AL,7,Bibb County,8000,1007
1,AL,9,Blount County,22010,1009
1,AL,11,Bullock County,3950,1011
1,AL,13,Butler County,8190,1013
1,AL,15,Calhoun County,47890,1015
1,AL,17,Chambers County,14850,1017
1,AL,19,Cherokee County,9170,1019
1,AL,21,Chilton County,17460,1021
1,AL,23,Choctaw County,5240,1023
1,AL,25,Clarke County,10310,1025
1,AL,27,Clay County,5560,1027
1,AL,29,Cleburne County,5680,1029
1,AL,31,Coffee County,20840,1031
1,AL,33,Colbert County,23700,1033
1,AL,35,Conecuh County,5020,1035
1,AL,37,Coosa County,4050,1037
1,AL,39,Covington County,15100,1039
1,AL,41,Crenshaw County,5810,1041
1,AL,43,Cullman County,33050,1043
1,AL,45,Dale County,20300,1045
1,AL,47,Dallas County,16830,1047
1,AL,49,DeKalb County,26620,1049
1,AL,51,Elmore County,34630,1051
1,AL,53,Escambia County,14380,1053
1,AL,55,Etowah County,42010,1055
1,AL,57,Fayette County,6320,1057
1,AL,59,Franklin County,12350,1059
1,AL,61,Geneva County,10280,1061
1,AL,63,Greene County,3480,1063
1,AL,65,Hale County,6410,1065
1,AL,67,Henry County,7050,1067
1,AL,69,Houston County,45000,1069
1,AL,71,Jackson County,21330,1071
1,AL,73,Jefferson County,296530,1073
1,AL,75,Lamar County,5360,1075
1,AL,77,Lauderdale County,38170,1077
1,AL,79,Lawrence County,13550,1079
1,AL,81,Lee County,60790,1081
1,AL,83,Limestone County,37130,1083
1,AL,85,Lowndes County,4990,1085
1,AL,87,Macon County,8190,1087
1,AL,89,Madison County,161270,1089
1,AL,91,Marengo County,8540,1091
1,AL,93,Marion County,10820,1093
1,AL,95,Marshall County,39400,1095
1,AL,97,Mobile County,177680,1097
1,AL,99,Monroe County,8420,1099
1,AL,101,Montgomery County,101400,1101
1,AL,103,Morgan County,52240,1103
1,AL,105,Perry County,3900,1105
1,AL,107,Pickens County,7530,1107
1,AL,109,Pike County,12660,1109
1,AL,111,Randolph County,8850,1111
1,AL,113,Russell County,25100,1113
1,AL,115,St. Clair County,35010,1115
1,AL,117,Shelby County,91930,1117
1,AL,119,Sumter County,5250,1119
1,AL,121,Talladega County,32900,1121
1,AL,123,Tallapoosa County,17570,1123
1,AL,125,Tuscaloosa County,80840,1125
1,AL,127,Walker County,25460,1127
1,AL,129,Washington County,6600,1129
1,AL,131,Wilcox County,4810,1131
1,AL,133,Winston County,9170,1133
2,AK,0,Alaska,359060,2000
2,AK,13,Aleutians East Borough,1060,2013
2,AK,16,Aleutians West Census Area,2380,2016
2,AK,20,Anchorage Municipality,153550,2020
2,AK,50,Bethel Census Area,7000,2050
2,AK,60,Bristol Bay Borough,540,2060
2,AK,68,Denali Borough,1140,2068
2,AK,70,Dillingham Census Area,2310,2070
2,AK,90,Fairbanks North Star Borough,47580,2090
2,AK,100,Haines Borough,1370,2100
2,AK,105,Hoonah-Angoon Census Area,1100,2105
2,AK,110,Juneau City and Borough,17660,2110
2,AK,122,Kenai Peninsula Borough,29200,2122
2,AK,130,Ketchikan Gateway Borough,7300,2130
2,AK,150,Kodiak Island Borough,7180,2150
2,AK,164,Lake and Peninsula Borough,770,2164
2,AK,170,Matanuska-Susitna Borough,43290,2170
2,AK,180,Nome Census Area,3900,2180
2,AK,185,North Slope Borough,3420,2185
2,AK,188,Northwest Arctic Borough,2720,2188
2,AK,195,Petersburg Census Area,1990,2195
2,AK,198,Prince of Wales-Hyder Census Area,2410,2198
2,AK,220,Sitka City and Borough,4690,2220
2,AK,230,Skagway Municipality,750,2230
2,AK,240,Southeast Fairbanks Census Area,3320,2240
