CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
H-300-12345-457400,2014-03-03,H-2A,2014-02-04,DETERMINATION ISSUED - CERTIFICATION,2014-04-01,2014-12-01,2014-04-01,2014-12-01,The Purple Sage,PO Box 369,43 Carbon County Road 722,Baggs,WY,82321,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,45,875,Month,Baggs,WY,Individual Employer
H-300-12348-698598,2014-02-27,H-2A,2014-02-04,DETERMINATION ISSUED - CERTIFICATION,2014-03-25,2014-12-15,2014-03-25,2014-12-15,Howard B. Lee Family Limited Partnership,PO Box 6,1201 North Street,Baggs,WY,82321,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,45,875,Month,Baggs,WY,Individual Employer
H-300-13007-934412,2014-02-24,H-2A,2014-01-28,DETERMINATION ISSUED - CERTIFICATION,2014-03-15,2014-11-15,2014-03-15,2014-11-15,"Ryan Johnson Farms, LLC",51854 State Hwy.78,,Hammett,ID,83627,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Farm/Irrigation/Livestock Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,48,10.69,Hour,Hammett,ID,Individual Employer
H-300-13009-524994,2014-03-28,H-2A,2014-02-18,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-04-14,2014-06-20,2014-04-14,2014-06-20,Copper Station Farms,3982 Jones Road NW,,Riceboro,GA,31323,LOW COUNTRY LABOR COMPANY,MICHAEL LALICH,JOHNS ISLAND,SC,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",70,40,10,Hour,Riceboro,GA,Individual Employer
H-300-13050-453923,2014-01-24,H-2A,2013-12-26,DETERMINATION ISSUED - CERTIFICATION,2014-03-01,2014-12-01,2014-03-01,2014-12-01,B. CRAIG DUKE,600 NORTH BIG SPRING STREET,,MIDLAND,TX,79701,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,FARM WORKER FARM & RANCH ANIMALS,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,10.18,Hour,MIDLAND,TX,Association - Filing as Agent (H-2A Only)
H-300-13073-953233,2013-10-17,H-2A,2013-09-03,DETERMINATION ISSUED - CERTIFICATION,2013-11-01,2014-10-31,2013-11-01,2014-10-31,BAR TWO RANCH LLC/RONALD R. CASH,"13609 CR Z, La Jara, CO 81140 (Physical Address)","13609 CR Z, La Jara, CO 81140 (Mailing Address)",La Jara,CO,81140,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,60,750,Month,La Jara,CO,Association - Filing as Agent (H-2A Only)
H-300-13078-133974,2013-10-30,H-2A,2013-09-24,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2013-11-15,2014-07-30,2013-11-15,2014-07-30,T.A.F Shearing Company/Alejandro R Colqui,"27 West 100 South, Franklin, ID 83237 (Physical Address)","PO Box 64, Franklin, ID 83237 (Mailing Address)",Franklin,ID,83237,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheep Shearer,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8,48,1.5,Select Pay Range,Franklin,ID,H-2A Labor Contractor or Job Contractor
H-300-13078-340392,2013-10-22,H-2A,2013-08-15,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2013-10-01,2014-09-30,2013-10-01,2014-09-30,"Double-U-Livestock, LLC/Wade S.  West","HC 33 (65 miles North of Ely), Ely, NV 89301 (Physical Address)","HC 33, Box 33701, Ely, NV 89301 (Mailing Address)",Ely,NV,89301,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8,60,800,Month,Ely,NV,Association - Filing as Agent (H-2A Only)
H-300-13079-039285,2013-10-18,H-2A,2013-09-03,DETERMINATION ISSUED - CERTIFICATION,2013-11-01,2014-10-31,2013-11-01,2014-10-31,Titmus Family Farms/Sunnie Titmus,"440 North Lamb Lane, Grantsville, UT 84029 (Physical Address)","PO Box 922, Grantsville, UT 84029 (Mailing Address)",Grantsville,UT,84029,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,750,Month,Grantsville,UT,Association - Filing as Agent (H-2A Only)
H-300-13079-135500,2013-10-22,H-2A,2013-09-03,DETERMINATION ISSUED - CERTIFICATION,2013-11-01,2014-10-31,2013-11-01,2014-10-31,Gleave Livestock/Stanton J. Gleave,"34 South 400 West, Kingston, UT 84743 (Physical Address)","PO Box 284, Kingston, UT 84743 (Mailing Address)",Kingston,UT,84743,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,750,Month,Kingston,UT,Association - Filing as Agent (H-2A Only)
H-300-13079-203390,2013-11-04,H-2A,2013-09-03,DETERMINATION ISSUED - CERTIFICATION,2013-11-01,2014-10-31,2013-11-01,2014-10-31,Joseph Auza Sheep Co./Joseph Auza Jr.,"353 East Wiley Way, Casa Grande, AZ 85222 (Physical Address)","353 East Wiley Way, Casa Grande, AZ 85222 (Mailing Address)",Casa Grande,AZ,85222,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,60,750,Month,Casa Grande,AZ,Association - Filing as Agent (H-2A Only)
H-300-13079-666492,2013-10-29,H-2A,2013-09-03,DETERMINATION ISSUED - CERTIFICATION,2013-11-01,2014-10-31,2013-11-01,2014-10-31,Hotchkiss Ranches Inc.,"11577 Shamrock Road, Hotchkiss, CO 81419 (Physical Address)","PO Box 479, Hotchkiss, CO 81419 (Mailing Address)",Hotchkiss,CO,81419,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",10,60,750,Month,Hotchkiss,CO,Association - Filing as Agent (H-2A Only)
H-300-13080-283652,2014-01-29,H-2A,2014-01-03,DETERMINATION ISSUED - CERTIFICATION,2014-03-01,2014-11-30,2014-03-01,2014-11-30,R Larson Sheep Co/Randy or Julie Larson,"179 West 100 South, Ephraim, UT 84627 (Physical Address)","PO Box 336, Ephraim, UT 84627 (Mailing Address)",Ephraim,UT,84627,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,60,875,Month,Ephraim,UT,Association - Filing as Agent (H-2A Only)
H-300-13084-504164,2013-12-19,H-2A,2013-12-03,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-11-30,2014-02-01,2014-11-30,"Little Ranch Company, Inc/Phil and Glory Little","4533 U.S. Hwy 14-16, Leiter, WY 82837 (Physical Address)","PO Box 163, Leiter, WY 82837 (Mailing Address)",Leiter,WY,82837,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,60,875,Month,Leiter,WY,Association - Filing as Agent (H-2A Only)
H-300-13085-009010,2013-11-13,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-10-31,2014-01-01,2014-10-31,Macon Cattle Assoc. LLC/Marty Lynn Bennett,"2451 East 1300 South, Gooding, ID 83330 (Physical Address)","2451 East 1300 South, Gooding, ID 83330 (Mailing Address)",Gooding,ID,83330,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,875,Month,Gooding,ID,Association - Filing as Agent (H-2A Only)
H-300-13085-010779,2013-11-22,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Marcus Iten Bacchi,"5300 Hwy 49, El Dorado, CA 95623 (Physical Address)","PO Box 750, El Dorado, CA 95623 (Mailing Address)",El Dorado,CA,95623,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Goatherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,60,1422.52,Month,El Dorado,CA,Association - Filing as Agent (H-2A Only)
H-300-13085-435276,2013-12-04,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,SIEBEN RANCH CO/NINA C. BAUCUS,"1600 Chevallier Drive, Wolf Creek, MT 59648 (Physical Address)","PO Box 1683, Helena, MT 59624 (Mailing Address)",Wolf Creek,MT,59648,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",5,60,750,Month,Wof Creek,MT,Association - Filing as Agent (H-2A Only)
H-300-13085-495172,2013-11-14,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-01,2014-09-30,2014-01-01,2014-09-30,A & L Outfitters/Warren D Adams,"177 E Hwy 70, Baggs, WY 82321 (Physical Address)","PO Box 427, Baggs, WY 82331 (Mailing Address)",Baggs,WY,82321,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,60,875,Month,Baggs,WY,Association - Filing as Agent (H-2A Only)
H-300-13085-694528,2013-11-19,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Bown Livestock/John D. Bown,"191 East 200 South, Fayette, UT 84630 (Physical Address)","HC 13 Box 300514, Fayette, UT 84630 (Mailing Address)",Fayette,UT,84630,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6,60,750,Month,Fayette,UT,Association - Filing as Agent (H-2A Only)
H-300-13087-159280,2013-11-22,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Three Y Livestock/Chournos Inc./Dan S. Chournos,"1720 E 600 N, Tremonton, UT 84337 (Physical Address)","1720 E 600 N, Tremonton, UT 84337 (Mailing Address)",Tremonton,UT,84337,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",5,60,750,Month,Tremonton,UT,Association - Filing as Agent (H-2A Only)
H-300-13092-010944,2013-11-21,H-2A,2013-11-12,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-01,2014-05-31,2014-01-01,2014-05-31,Hoopes Sheep Shearing/Clifford Hoopes,"55 Hayter Ave, Fort Bridger, WY 82933 (Physical Address)","PO Box 73, Mountain View, WY 82939 (Mailing Address)",Fort Bridger,WY,82933,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheep Shearer,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6,48,1.5,Select Pay Range,Fort Bridger,WY,H-2A Labor Contractor or Job Contractor
H-300-13092-191622,2013-12-04,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Fred W. Hunzeker & Sons/Dennis Hunzeker,"1041 Bench Rd, Montpelier, ID 83254 (Physical Address)","1041 Bench Rd, Montpelier, ID 83254 (Mailing Address)",Montpelier,ID,83254,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",14,60,750,Month,Montpelier,ID,Association - Filing as Agent (H-2A Only)
H-300-13092-242950,2013-11-21,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Cubiburu Livestock Inc./John & Florence Cubiburu,"2606 Benjamin Holt Drive, Stockton, CA 95207 (Physical Address)","2606 Benjamin Holt Drive, Stockton, CA 95207 (Mailing Address)",Stockton,CA,95207,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",5,60,1422.52,Month,Stockton,CA,Association - Filing as Agent (H-2A Only)
H-300-13092-437537,2013-11-08,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,G. David & Theressa Dalling,"1708 North 2250 East, Hamer, ID 83425 (Physical Address)","1708 North 2250 East, Hamer, ID 83425 (Mailing Address)",Hamer,ID,83425,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",13,60,750,Month,Hamer,ID,Association - Filing as Agent (H-2A Only)
H-300-13092-544987,2013-11-22,H-2A,2013-11-12,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-01,2014-05-31,2014-01-01,2014-05-31,Hoopes Sheep Shearing/Clifford Hoopes,"55 Hayter Ave, Fort Bridger, WY 82933 (Physical Address)","PO Box 73, Mountain View, WY 82939 (Mailing Address)",Fort Bridger,WY,82933,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Wool Grader,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,48,0.17,Select Pay Range,Fort Bridger,WY,H-2A Labor Contractor or Job Contractor
H-300-13093-575475,2013-11-22,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Jennings Farms Inc/Colleen Jennings,"39 Jenning Rd, Riverton, WY 82501 (Physical Address)","39 Jenning Rd, Riverton, WY 82501 (Mailing Address)",Riverton,WY,82501,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,60,750,Month,Riverton,WY,Association - Filing as Agent (H-2A Only)
H-300-13094-003217,2013-11-08,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,John Uhalde & Company/Gracian N Uhalde,"110 Miles SW of Ely, NV, Ely, NV 89315 (Physical Address)","PO Box 151088, Ely, NV 89315 (Mailing Address)",Ely,NV,89315,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,60,800,Month,Ely,NV,Association - Filing as Agent (H-2A Only)
H-300-13094-175005,2013-11-18,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-10-31,2014-01-01,2014-10-31,Weaver Ranch Inc/Susan M. Weaver,"3000 West County Rd 70, Fort Collins, CO 80524 (Physical Address)","3000 West County Rd 70, Fort Collins, CO 80524 (Mailing Address)",Fort Collins,CO,80524,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,875,Month,Fort Collins,CO,Association - Filing as Agent (H-2A Only)
H-300-13094-321088,2013-11-20,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,W & M Thoman Ranches LLC/Mary Thoman,"38622 State Hwy 372, Green River, WY 82935 (Physical Address)","PO Box 146, Green River, WY 82935 (Mailing Address)",Green River,WY,82935,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8,60,750,Month,Green River,WY,Association - Filing as Agent (H-2A Only)
