CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,PRIMARY/SUB,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAICS_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,OVERTIME_PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-15344-269491,2017-01-19,H-2A,2017-01-03,DETERMINATION ISSUED - CERTIFICATION,2017-02-28,2017-12-28,PRI,Pepperco-USA Inc.,220 N. Fillmore Rd,"mailing: 220 N. Fillmore Rd. , Coldwater MI  49036",Coldwater,MI,49036,UNITED STATES OF AMERICA,,517-278-0320,,MAS Labor H-2A,Elizabeth Whitley,LOVINGSTON,VA,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Peppers,,60,60,Y,Seasonal,45,07:00 AM,03:30 PM,$12.75,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Coldwater,MI,49036,N,Individual Employer,Branch County Michigan Works!,7419138,2016-12-29,2017-07-30
H-300-16005-872678,2016-12-22,H-2A,2016-12-06,DETERMINATION ISSUED - CERTIFICATION,2017-02-15,2017-11-15,PRI,N & O HORTICULTURAL PRODUCTS LTD,38A FIFTY ACRE ROAD,N/A,ST. JAMES,NY,11780,UNITED STATES OF AMERICA,N/A,631-584-6330,,U.S. AMERICANS INC,JOHN GISMONDI,WESTBURY,NY,FARM WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Flowers,,9,9,Y,Seasonal,40,07:00 AM,03:30 PM,$11.74,Hour,11.74,11.74,Hour,N,,None,N/A,N/A,N,,N,,,Y,1,ST. JAMES,NY,11780,N,Individual Employer,NEW YORK,NY1190657,2016-12-06,2017-07-01
H-300-16028-816100,2017-01-27,H-2A,2016-12-14,DETERMINATION ISSUED - CERTIFICATION,2017-02-15,2017-07-01,PRI,HERMANN J. WIEMER VINEYARD,3962 RT. 14,P.O. BOX 38,DUNDEE,NY,14837,UNITED STATES OF AMERICA,,607-243-7971,,,,,,Vineyard Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Grapes,,8,8,Y,Seasonal,45,08:00 AM,05:00 PM,$11.74,Hour,,,Hour,N,,None,,,N,,N,,,Y,1,Dundee,NY,14837,N,Individual Employer,NYS Department of Labor,NY1190672,2016-12-06,2017-04-24
H-300-16075-032707,2017-02-22,H-2A,2016-03-15,DETERMINATION ISSUED - WITHDRAWN,2016-05-01,2017-04-29,PRI,Painter & Co. Inc.,"701 Horne Road, Evanston WY 82930","PO Box 194, Evanston WY 82931",Evanston,WY,82931,UNITED STATES OF AMERICA,,307-789-2338,,Mountain Plains Ag Service,SANDRA STUNTEBECK,Casper,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Open Range Livestock,,2,0,Y,Seasonal,60,12:00 AM,12:00 PM,"$1,206.31",Month,,,Month,N,,None,N/A,N/A,N,,N,,,Y,6,Evanston,WY,82931,Y,Association - Filing as Agent (H-2A Only),WY State Workforce,2604792,2016-03-17,2016-10-31
H-300-16133-872098,2016-10-11,H-2A,2016-05-12,DETERMINATION ISSUED - CERTIFICATION,2016-07-10,2017-07-08,PRI,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,SUITE 100,TWIN FALLS,ID,83301,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,603.00",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,westfall,OR,97920,Y,Association - Joint Employer (H-2A Only),Oregon State Workforce Agency,1600911,2016-05-19,2017-01-07
H-300-16133-872098,2016-10-11,H-2A,2016-05-12,DETERMINATION ISSUED - CERTIFICATION,2016-07-10,2017-07-08,SUB,DEARING RANCH,4218 CLOVER CREEK ROAD,,WESTFALL,OR,97920,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,603.00",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,westfall,OR,97920,Y,,Oregon State Workforce Agency,1600911,2016-05-19,2017-01-07
H-300-16134-577252,2017-02-17,H-2A,2017-02-01,DETERMINATION ISSUED - CERTIFICATION,2017-03-20,2017-12-15,PRI,BAKER'S NURSERY & TREE SERVICE LLC.,3608A BRETHERN CHURCH RD,,MYERSVILLE,MD,21773,UNITED STATES OF AMERICA,,301-639-8128,,,,,,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery and Greenhouse Worker,42391,5,5,Y,Seasonal,39,07:00 AM,03:00 PM,$12.19,Hour,,,Hour,N,,None,n/a,N/A,N,,N,,,Y,3,Myersville,MD,21773,N,Individual Employer,MD DLLR,591557,2017-01-09,2017-03-17
H-300-16153-054105,2016-10-13,H-2A,2016-08-10,DETERMINATION ISSUED - DENIED,2016-09-26,2017-07-14,PRI,GOLDEN FRESH FARMS LP,102 PROGRESS DRIVE,,WAPAKONETA,OH,45895,UNITED STATES OF AMERICA,,519-796-2969,,BUTZEL LONG,SCOTT PATTERSON,BLOOMFIELD HILLS,MI,Greenhouse Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery and Greenhouse Worker,42391,48,0,Y,Peakload,40,07:00 AM,04:00 PM,$12.07,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Wapakoneta,OH,45895,N,Individual Employer,Ohio Department of Jobs and Family Services,3219970,2016-08-04,2017-02-28
H-300-16153-995348,2016-10-04,H-2A,2016-08-31,DETERMINATION ISSUED - CERTIFICATION,2016-10-15,2017-06-30,PRI,"Pero Family Farms, LLC",14095 State Road 7,,Delray Beach,FL,33446,UNITED STATES OF AMERICA,,561-635-0079,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sweet Peppers,,75,75,Y,Seasonal,42,08:00 AM,04:00 PM,$10.70,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,N,,Delray Beach,FL,33446,Y,Individual Employer,"Florida Dept. of Economic Opportunity, Bureau of One-Stop & Program Support",FL10294986,2016-08-24,2017-02-21
H-300-16161-103212,2016-10-11,H-2A,2016-06-09,DETERMINATION ISSUED - CERTIFICATION,2016-08-10,2017-08-08,SUB,DEARING RANCH,4218 CLOVER CREEK ROAD,,WESTFALL,OR,97920,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,646.00",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,Westfall,OR,97920,Y,,Oregon State Workforce Agency,1617788,2016-06-16,2017-02-07
