FIPS,ABBR,STATE,TOTAL,CLINTON,TRUMP
01,AL,Alabama,2123372,729547,1318255
02,AK,Alaska,318608,116454,163387
04,AZ,Arizona,2604657,1161167,1252401
05,AR,Arkansas,1130635,380494,684872
06,CA,California,14237884,8753788,4483810
08,CO,Colorado,2780247,1338870,1202484
09,CT,Connecticut,1644920,897572,673215
10,DE,Delaware,441590,235603,185127
11,DC,District of Columbia,311268,282830,12723
12,FL,Florida,9501617,4504975,4617886
13,GA,Georgia,4138772,1877963,2089104
15,HI,Hawaii,428937,266891,128847
16,ID,Idaho,690433,189765,409055
17,IL,Illinois,5571950,3090729,2146015
18,IN,Indiana,2734958,1033126,1557286
19,IA,Iowa,1566031,653669,800983
20,KS,Kansas,1184402,427005,671018
21,KY,Kentucky,1924149,628854,1202971
22,LA,Louisiana,2029032,780154,1178638
23,ME,Maine,747927,357735,335593
24,MD,Maryland,2781446,1677928,943169
25,MA,Massachusetts,3325046,1995196,1090893
26,MI,Michigan,4822952,2268839,2279543
27,MN,Minnesota,2944813,1367716,1322951
28,MS,Mississippi,1211088,485131,700714
29,MO,Missouri,2827673,1071068,1594511
30,MT,Montana,501822,177709,279240
31,NE,Nebraska,844227,284494,495961
32,NV,Nevada,1125385,539260,512058
33,NH,New Hampshire,744296,348526,345790
34,NJ,New Jersey,3906723,2148278,1601933
35,NM,New Mexico,798318,385234,319666
36,NY,New York,7706777,4547218,2814346
37,NC,North Carolina,4741564,2189316,2362631
38,ND,North Dakota,344360,93758,216794
39,OH,Ohio,5536528,2394164,2841005
40,OK,Oklahoma,1452992,420375,949136
41,OR,Oregon,2001336,1002106,782403
42,PA,Pennsylvania,6163012,2926441,2970733
44,RI,Rhode Island,464144,252525,180543
45,SC,South Carolina,2103027,855373,1155389
46,SD,South Dakota,370093,117458,227721
47,TN,Tennessee,2508027,870695,1522925
48,TX,Texas,8969226,3877868,4685047
49,UT,Utah,1143601,310676,515231
50,VT,Vermont,315067,178573,95369
51,VA,Virginia,3982752,1981473,1769443
53,WA,Washington,3311630,1742718,1221747
54,WV,West Virginia,721231,188794,489371
55,WI,Wisconsin,2976150,1382536,1405284
56,WY,Wyoming,255849,55973,174419
