Candidate Name,committee_id,filing_id,report_title,date_coverage_from,date_coverage_to,amended
Amy Klobuchar,C00696419,1326529,APR QUARTERLY,2019-02-07,2019-03-31,False
Andrew Yang,C00659938,1326379,APR QUARTERLY,2019-01-01,2019-03-31,False
Bernie Sanders,C00696948,1326070,APR QUARTERLY,2019-01-01,2019-03-31,False
Beto O'Rourke,C00699090,1326481,APR QUARTERLY,2019-03-14,2019-03-31,False
Cory Booker,C00695510,1326465,APR QUARTERLY,2019-01-01,2019-03-31,False
Elizabeth Warren,C00693234,1326299,APR QUARTERLY,2019-01-01,2019-03-31,False
Jay Inslee,C00698050,1326136,APR QUARTERLY,2019-02-14,2019-03-31,False
John Delaney,C00508416,1324749,APR QUARTERLY,2019-01-01,2019-03-31,False
John Hickenlooper,C00698258,1326014,APR QUARTERLY,2019-01-01,2019-03-31,False
Julián Castro,C00693044,1326324,APR QUARTERLY,2019-01-01,2019-03-31,False
Kamala Harris,C00694455,1326016,APR QUARTERLY,2019-01-21,2019-03-31,False
Kirsten Gillibrand,C00694018,1326061,APR QUARTERLY,2019-01-01,2019-03-31,False
Pete Buttigieg,C00697441,1324922,APR QUARTERLY,2019-01-01,2019-03-31,False
Tulsi Gabbard,C00693713,1326558,APR QUARTERLY,2019-01-11,2019-03-31,False
Wayne Messam,C00699280,1326345,APR QUARTERLY,2019-01-01,2019-03-31,False
